,sheep_grains_beef_and_dairy_cattle,poultry_and_other_livestock,other_agriculture,aquaculture,forestry_and_logging,fishing_hunting_and_trapping,agriculture_forestry_and_fishing_support_services,coal_mining,oil_and_gas_extraction,iron_ore_mining,non-ferrous_metal_ore_mining,non-metallic_mineral_mining,exploration_and_mining_support_services,meat_and_meat_product_manufacturing,processed_seafood_manufacturing,dairy_product_manufacturing,fruit_and_vegetable_product_manufacturing,oils_and_fats_manufacturing,grain_mill_and_cereal_product_manufacturing,bakery_product_manufacturing,sugar_and_confectionery_manufacturing,other_food_product_manufacturing,soft_drinks_cordials_and_syrup_manufacturing,beer_manufacturing,wine_spirits_and_tobacco,textile_manufacturing,tanned_leather_dressed_fur_and_leather_product_manufacturing,textile_product_manufacturing,knitted_product_manufacturing,clothing_manufacturing,footwear_manufacturing,sawmill_product_manufacturing,other_wood_product_manufacturing,pulp_paper_and_paperboard_manufacturing,paper_stationery_and_other_converted_paper_product_manufacturing,printing_(including_the_reproduction_of_recorded_media),petroleum_and_coal_product_manufacturing,human_pharmaceutical_and_medicinal_product_manufacturing,veterinary_pharmaceutical_and_medicinal_product_manufacturing,basic_chemical_manufacturing,cleaning_compounds_and_toiletry_preparation_manufacturing,polymer_product_manufacturing,natural_rubber_product_manufacturing,glass_and_glass_product_manufacturing,ceramic_product_manufacturing,cement_lime_and_ready-mixed_concrete_manufacturing,plaster_and_concrete_product_manufacturing,other_non-metallic_mineral_product_manufacturing,iron_and_steel_manufacturing,basic_non-ferrous_metal_manufacturing,forged_iron_and_steel_product_manufacturing,structural_metal_product_manufacturing,metal_containers_and_other_sheet_metal_product_manufacturing,other_fabricated_metal_product_manufacturing,motor_vehicles_and_parts;_other_transport_equipment_manufacturing,ships_and_boat_manufacturing,railway_rolling_stock_manufacturing,aircraft_manufacturing,professional_scientific_computer_and_electronic_equipment_manufacturing,electrical_equipment_manufacturing,domestic_appliance_manufacturing,specialised_and_other_machinery_and_equipment_manufacturing,furniture_manufacturing,other_manufactured_products,electricity_generation,electricity_transmission_distribution_on_selling_and_electricity_market_operation,gas_supply,water_supply_sewerage_and_drainage_services,waste_collection_treatment_and_disposal_services,residential_building_construction,non_residential_building_construction,heavy_and_civil_engineering_construction,construction_services,wholesale_trade,retail_trade,accommodation,food_and_beverage_services,road_transport,rail_transport,water_pipeline_and_other_transport,air_and_space_transport,postal_and_courier_pick-up_and_delivery_service,transport_support_services_and_storage,publishing_(except_internet_and_music_publishing),motion_picture_and_sound_recording,broadcasting_(except_internet),internet_service_providers_internet_publishing_and_broadcasting_websearch_portals_and_data_processing,telecommunication_services,library_and_other_information_services,finance,insurance_and_superannuation_funds,auxiliary_finance_and_insurance_services,rental_and_hiring_services_(except_real_estate),ownership_of_dwellings,non-residential_property_operators_and_real_estate_services,professional_scientific_and_technical_services,computer_systems_design_and_related_services,employment_travel_agency_and_other_administrative_services,building_cleaning_pest_control_and_other_support_services,public_administration_and_regulatory_services,defence,public_order_and_safety,primary_and_secondary_education_services_(including_pre-schools_and_special_schools),technical_vocational_and_tertiary_education_services_(including_undergraduate_and_postgraduate),arts_sports_adult_and_other_education_services_(including_community_education),health_care_services,residential_care_and_social_assistance_services,heritage_creative_and_performing_arts,sports_and_recreation,gambling,automotive_repair_and_maintenance,other_repair_and_maintenance,personal_services,other_services,Total Industry Uses,Households ; Final Consumption Expenditure,General Government ; Final Consumption Expenditure,Private ; Gross Fixed Capital Formation,Public Corporations ; Gross Fixed Capital Formation,General Government ; Gross Fixed Capial Formation,Changes in Inventories,Exports of Goods and Services,Final Uses (Q1 to Q7),Total Supply,,,,,,,,,,
sheep_grains_beef_and_dairy_cattle,2773.74,336.03,345.62,1.01,0.18,1.16,18.90,1.20,0.58,0.74,1.53,0.12,0.21,16926.31,0.57,4677.61,4.00,84.59,2039.37,88.60,28.66,90.84,16.16,449.98,256.34,223.46,63.43,849.85,0.00,0.03,0.01,5.42,4.55,0.34,1.21,0.41,0.98,46.76,58.66,63.15,31.04,1.25,0.03,0.67,0.13,2.32,0.44,0.56,1.14,4.83,0.11,2.04,0.35,0.78,1.03,0.29,0.27,0.49,0.71,0.44,0.18,0.92,0.80,0.49,0.89,0.30,0.03,0.53,0.30,10.51,6.40,3.82,25.62,302.47,1153.55,42.03,71.47,1.73,0.29,0.11,3.44,0.98,4.93,0.31,0.22,0.09,0.09,0.76,0.01,0.25,0.29,0.26,0.24,0.20,836.24,37.02,0.26,0.29,6.06,4.28,0.72,7.63,1.36,1.97,0.17,8.18,39.94,0.14,0.81,0.46,1.00,0.87,3.29,132.68,32229.07,278.47,10.38,1803.60,77.45,232.74,-174.22,9960.51,12188.93,44418.00,,,,,,,,,,
poultry_and_other_livestock,56.57,140.34,139.94,0.12,0.03,4.75,1.27,0.26,0.13,0.16,0.33,0.03,0.05,4470.64,0.19,113.65,0.34,0.77,2.58,47.41,22.73,158.74,0.14,0.17,0.14,0.02,0.09,0.08,0.00,0.00,0.00,1.16,0.98,0.07,0.09,0.09,0.21,9.39,0.11,0.44,0.46,0.27,0.01,0.14,0.03,0.50,0.09,0.12,0.25,1.03,0.02,0.44,0.08,0.17,0.22,0.06,0.06,0.11,0.15,0.09,0.04,0.19,0.17,0.09,0.19,0.06,0.01,0.11,0.06,2.25,1.37,0.82,5.46,174.32,448.77,73.94,202.50,0.37,0.06,0.02,0.74,0.21,0.06,0.07,1.86,0.02,0.02,0.15,0.00,0.03,0.03,0.05,0.05,0.04,73.15,4.82,0.04,0.05,0.05,0.48,0.15,4.80,18.09,24.59,1.80,39.70,14.31,0.03,70.44,19.28,0.20,0.19,1.05,0.03,6365.87,854.23,1.01,1280.65,3.65,6.75,-15.94,267.78,2398.13,8764.00,,,,,,,,,,
other_agriculture,2752.48,561.29,610.89,1.34,0.24,0.52,2014.00,0.49,0.24,0.30,0.63,0.05,0.09,25.30,0.66,14.09,951.34,22.67,3.61,96.49,1549.10,862.69,21.41,3.11,2155.82,2.36,0.58,2.34,0.00,0.06,0.23,2.82,2.95,0.55,2.87,1.21,0.40,3.94,0.04,1.97,0.36,300.78,19.21,1.65,1.05,2.71,0.99,0.81,0.47,1.97,0.05,1.15,0.23,0.61,0.42,0.12,0.11,0.20,0.29,0.18,0.07,0.37,15.45,0.17,2.00,2.04,0.11,11.86,0.12,98.97,47.76,32.52,448.83,72.15,513.31,218.00,867.83,3.86,5.29,7.29,5.55,5.78,30.77,0.13,20.70,0.04,0.03,0.29,0.29,1.56,0.06,0.10,23.60,0.08,104.46,17.26,0.08,10.75,6.73,27.32,7.50,14.18,26.72,46.60,7.07,176.21,67.88,17.57,135.42,104.46,3.78,2.75,83.32,2.10,15303.64,7996.15,4.03,1015.83,24.15,88.56,71.68,2313.95,11514.36,26818.00,,,,,,,,,,
aquaculture,0.03,0.01,0.02,49.54,0.00,0.01,0.02,0.08,0.15,0.02,0.13,0.01,0.01,0.00,241.28,0.00,0.00,109.93,0.39,26.01,13.54,245.13,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,0.00,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.02,0.01,0.00,0.01,0.01,0.00,0.02,0.00,0.01,0.02,0.02,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.01,0.01,0.03,0.01,0.01,0.00,0.09,0.03,0.11,0.33,11.00,302.44,113.04,181.23,0.04,0.01,0.01,0.01,0.01,0.04,0.00,0.00,0.00,0.15,0.01,0.00,0.01,0.01,0.01,0.03,0.00,0.06,0.26,0.14,0.14,0.06,0.02,0.01,0.04,0.02,0.03,0.00,0.05,0.02,0.00,0.48,11.50,0.04,0.10,0.03,0.00,1308.27,683.37,0.00,9.57,0.09,2.34,12.61,74.75,782.73,2091.00,,,,,,,,,,
forestry_and_logging,35.94,10.87,18.84,0.48,229.02,0.05,0.24,5.47,8.72,0.56,2.46,0.20,0.25,0.98,0.03,0.48,0.20,0.12,0.51,0.25,0.38,0.42,0.53,0.10,0.11,0.01,0.05,0.06,0.00,0.02,0.03,1877.35,777.46,0.22,0.37,3.29,8.12,25.34,0.05,98.42,28.35,32.69,0.02,0.22,0.10,0.88,0.47,0.10,0.33,0.68,0.02,0.84,0.18,0.36,0.80,0.59,0.20,0.05,0.80,0.12,0.06,0.32,0.23,0.38,0.09,0.37,0.02,0.54,0.03,2.75,1.41,1.29,7.77,0.69,0.67,0.23,0.87,1.23,2.35,0.19,0.52,0.32,0.10,0.03,0.02,0.01,5.66,0.07,0.01,0.41,0.34,0.41,1.01,0.02,54.12,9.26,5.27,5.20,1.07,0.28,0.42,1.00,0.67,1.20,0.18,1.08,0.57,0.01,0.29,0.17,1.68,1.49,0.31,0.10,3290.57,69.24,70.00,32.26,0.36,8.04,79.78,542.75,802.43,4093.00,,,,,,,,,,
fishing_hunting_and_trapping,26.28,7.63,24.56,0.69,0.06,6.54,2.07,7.07,19.04,1.96,12.04,0.88,0.39,0.31,362.16,0.15,0.09,0.56,0.55,0.37,0.07,23.23,2.32,0.02,0.03,0.00,16.60,0.02,0.00,0.00,0.00,0.17,0.20,0.08,0.33,0.25,2.85,0.03,0.00,0.15,0.01,0.18,0.01,0.05,0.01,0.23,0.06,0.02,1.16,0.16,0.05,0.91,0.06,0.21,0.78,0.48,0.05,0.01,0.08,0.02,0.01,0.09,0.03,0.09,1.86,3.33,1.20,0.04,0.12,8.36,2.23,14.43,32.02,26.27,497.98,37.93,94.84,1.86,0.98,0.06,0.53,1.10,6.27,0.02,0.19,0.06,0.31,0.91,0.00,0.03,0.02,0.03,1.33,0.01,1.47,2.11,0.29,0.64,4.67,8.26,0.41,1.65,0.38,0.50,0.02,4.77,1.61,2.69,1.53,2.44,0.36,9.84,3.51,0.01,1305.96,652.55,24.00,24.25,0.25,5.97,28.55,914.47,1650.04,2956.00,,,,,,,,,,
agriculture_forestry_and_fishing_support_services,2432.97,142.00,2707.59,30.37,612.73,198.77,145.36,20.26,12.76,26.10,144.25,8.66,0.35,1.08,0.03,0.43,0.19,0.07,0.45,0.26,0.22,0.40,0.26,0.09,0.09,0.01,0.05,0.05,0.00,0.01,0.01,0.61,0.55,0.14,0.36,0.26,2.05,0.13,0.01,0.39,0.05,0.46,0.02,0.15,0.05,0.57,0.21,0.08,0.92,0.60,0.05,0.98,0.12,0.30,0.82,0.52,0.11,0.06,0.36,0.09,0.04,0.23,0.15,0.16,1.28,2.28,0.79,0.23,0.10,6.89,2.27,9.92,24.60,8.30,1.81,0.62,1.06,5.26,0.72,0.11,0.73,0.88,5.34,0.07,0.15,0.05,2.02,1.32,0.00,1.85,2.37,0.47,1.22,0.02,1.66,8.23,2.65,2.37,3.37,41.17,0.53,2.64,0.66,0.95,0.11,3.66,1.41,0.32,0.82,0.45,0.82,6.85,2.43,0.06,6661.38,7.02,524.16,82.76,1.17,20.11,-1509.34,2577.74,1703.62,8365.00,,,,,,,,,,
coal_mining,24.98,3.09,9.62,0.57,0.20,0.72,3.19,1460.97,254.88,637.36,1078.67,166.15,19.03,7.12,0.10,2.03,2.94,1.69,10.76,1.37,6.75,4.39,4.34,2.23,2.07,2.08,0.07,0.72,0.01,0.14,0.13,0.74,1.92,12.64,7.62,1.96,13.72,9.74,0.50,22.32,1.85,4.42,0.17,1.39,0.15,24.59,0.55,0.97,1052.95,480.14,0.39,45.67,34.37,4.10,5.04,1.24,0.40,1.17,1.08,0.68,0.16,2.37,0.90,0.29,2140.33,6.75,3.51,2.14,2.57,45.92,9.10,43.87,52.07,107.35,29.51,6.92,10.21,19.27,10.71,2.81,2.65,4.28,29.32,0.89,2.40,0.77,4.70,13.95,0.05,8.45,8.91,26.43,6.69,88.52,27.27,165.64,36.50,80.83,4.14,38.27,34.70,3.59,9.50,11.89,1.94,17.27,7.57,1.35,2.95,2.99,6.36,7.52,6.03,0.30,8602.18,50.94,37.51,120.41,13.17,39.63,-758.69,66592.86,66095.82,74698.00,,,,,,,,,,
oil_and_gas_extraction,55.97,3.18,15.89,5.75,0.41,1.81,6.22,542.22,916.99,441.38,500.70,82.19,19.16,84.77,0.56,98.13,24.99,49.81,47.60,41.54,45.33,95.47,28.25,26.49,45.67,0.56,0.27,5.87,0.43,2.62,0.33,10.49,66.01,114.47,124.04,30.22,733.17,7.37,1.10,2102.20,8.56,203.11,17.39,204.82,36.99,45.53,99.34,28.56,143.62,640.42,11.21,65.79,33.69,40.46,22.70,6.41,8.82,9.10,10.34,5.03,3.67,15.92,4.69,3.90,1880.51,21.98,35.99,16.01,2.70,203.92,194.63,85.62,332.67,247.76,81.31,30.16,508.04,256.95,14.17,13.17,3.92,137.20,56.97,24.07,10.89,0.99,1.96,37.87,0.04,7.82,3.25,5.88,58.51,62.94,56.29,176.28,6.03,50.36,8.72,138.87,45.81,18.85,66.27,47.37,9.02,129.87,123.82,3.28,11.45,8.03,20.50,22.89,29.73,10.45,13371.45,4718.39,11.86,1933.72,191.89,666.17,-223.48,57718.01,65016.55,78388.00,,,,,,,,,,
iron_ore_mining,36.76,3.67,20.29,2.22,0.41,3.26,8.49,263.26,85.92,94.27,138.94,7.64,4.48,5.16,0.32,3.51,1.37,0.52,13.15,1.93,4.09,4.01,6.43,3.30,3.29,0.28,0.09,1.13,0.07,0.20,0.14,1.09,2.54,2.87,10.79,3.45,20.26,13.43,0.75,13.97,4.27,7.24,0.61,1.59,0.34,7.62,1.04,0.24,936.52,84.92,1.01,24.58,7.00,6.48,9.15,3.25,0.62,2.87,1.03,1.01,0.27,3.13,1.17,0.58,20.09,16.83,10.05,4.75,33.02,65.08,15.44,96.37,178.41,381.07,102.71,6.36,34.54,120.91,79.07,19.20,7.04,16.07,116.66,2.19,7.50,1.55,13.25,35.11,0.14,16.38,12.70,78.11,34.57,1.04,44.58,455.44,98.38,229.58,22.78,43.43,4.50,11.57,23.04,25.08,6.07,34.82,15.80,4.66,10.24,8.94,10.31,35.19,19.44,0.67,4525.03,78.25,14.55,314.78,37.06,123.19,1948.23,73546.92,76062.97,80588.00,,,,,,,,,,
