,sheep_grains_beef_and_dairy_cattle,poultry_and_other_livestock,other_agriculture,aquaculture,forestry_and_logging,fishing_hunting_and_trapping,agriculture_forestry_and_fishing_support_services,coal_mining,oil_and_gas_extraction,iron_ore_mining,non-ferrous_metal_ore_mining,non-metallic_mineral_mining,exploration_and_mining_support_services,meat_and_meat_product_manufacturing,processed_seafood_manufacturing,dairy_product_manufacturing,fruit_and_vegetable_product_manufacturing,oils_and_fats_manufacturing,grain_mill_and_cereal_product_manufacturing,bakery_product_manufacturing,sugar_and_confectionery_manufacturing,other_food_product_manufacturing,soft_drinks_cordials_and_syrup_manufacturing,beer_manufacturing,wine_spirits_and_tobacco,textile_manufacturing,tanned_leather_dressed_fur_and_leather_product_manufacturing,textile_product_manufacturing,knitted_product_manufacturing,clothing_manufacturing,footwear_manufacturing,sawmill_product_manufacturing,other_wood_product_manufacturing,pulp_paper_and_paperboard_manufacturing,paper_stationery_and_other_converted_paper_product_manufacturing,printing_(including_the_reproduction_of_recorded_media),petroleum_and_coal_product_manufacturing,human_pharmaceutical_and_medicinal_product_manufacturing,veterinary_pharmaceutical_and_medicinal_product_manufacturing,basic_chemical_manufacturing,cleaning_compounds_and_toiletry_preparation_manufacturing,polymer_product_manufacturing,natural_rubber_product_manufacturing,glass_and_glass_product_manufacturing,ceramic_product_manufacturing,cement_lime_and_ready-mixed_concrete_manufacturing,plaster_and_concrete_product_manufacturing,other_non-metallic_mineral_product_manufacturing,iron_and_steel_manufacturing,basic_non-ferrous_metal_manufacturing,forged_iron_and_steel_product_manufacturing,structural_metal_product_manufacturing,metal_containers_and_other_sheet_metal_product_manufacturing,other_fabricated_metal_product_manufacturing,motor_vehicles_and_parts;_other_transport_equipment_manufacturing,ships_and_boat_manufacturing,railway_rolling_stock_manufacturing,aircraft_manufacturing,professional_scientific_computer_and_electronic_equipment_manufacturing,electrical_equipment_manufacturing,domestic_appliance_manufacturing,specialised_and_other_machinery_and_equipment_manufacturing,furniture_manufacturing,other_manufactured_products,electricity_generation,electricity_transmission_distribution_on_selling_and_electricity_market_operation,gas_supply,water_supply_sewerage_and_drainage_services,waste_collection_treatment_and_disposal_services,residential_building_construction,non_residential_building_construction,heavy_and_civil_engineering_construction,construction_services,wholesale_trade,retail_trade,accommodation,food_and_beverage_services,road_transport,rail_transport,water_pipeline_and_other_transport,air_and_space_transport,postal_and_courier_pick-up_and_delivery_service,transport_support_services_and_storage,publishing_(except_internet_and_music_publishing),motion_picture_and_sound_recording,broadcasting_(except_internet),internet_service_providers_internet_publishing_and_broadcasting_websearch_portals_and_data_processing,telecommunication_services,library_and_other_information_services,finance,insurance_and_superannuation_funds,auxiliary_finance_and_insurance_services,rental_and_hiring_services_(except_real_estate),imputed_rent_for_owner-occupiers,actual_rent_for_housing,non-residential_property_operators_and_real_estate_services,professional_scientific_and_technical_services,computer_systems_design_and_related_services,employment_travel_agency_and_other_administrative_services,building_cleaning_pest_control_and_other_support_services,public_administration_and_regulatory_services,defence,public_order_and_safety,primary_and_secondary_education_services_(including_pre-schools_and_special_schools),technical_vocational_and_tertiary_education_services_(including_undergraduate_and_postgraduate),arts_sports_adult_and_other_education_services_(including_community_education),health_care_services,residential_care_and_social_assistance_services,heritage_creative_and_performing_arts,sports_and_recreation,gambling,automotive_repair_and_maintenance,other_repair_and_maintenance,personal_services,other_services,Total Industry Uses,Households ; Final Consumption Expenditure,General Government ; Final Consumption Expenditure,Private ; Gross Fixed Capital Formation,Public Corporations ; Gross Fixed Capital Formation,General Government ; Gross Fixed Capial Formation,Changes in Inventories,Exports of Goods and Services,Final Uses (Q1 to Q7),Total Supply
sheep_grains_beef_and_dairy_cattle,3866.1423,374.365,542.4275,2.0367,0.0216,0.8358,10.684,0.1992,0.2518,0.1505,0.3399,0.0286,0.0509,21392.0688,0.1461,5169.8325,2.468,218.7496,2195.1115,94.1258,43.4717,156.0649,19.7902,531.4927,412.9675,81.8398,2.1519,335.3244,0.0004,0.0051,0.0027,0.8743,0.7062,0.0544,0.9543,0.0531,0.1207,22.768,52.3115,112.2993,44.2337,0.2127,0.0108,0.1524,0.0352,0.3697,0.0832,0.1408,0.2769,0.9173,0.0245,0.3796,0.0657,0.1558,0.1898,0.0661,0.04,0.0718,0.1509,0.1031,0.042,0.2224,0.1474,0.0968,0.1518,0.0827,0.0051,0.1376,0.1136,1.7787,1.1116,0.7149,5.0382,392.8981,1618.1293,43.4159,128.6511,0.2092,0.0503,0.0162,0.1967,0.1617,14.165,0.087,0.0424,0.0202,0.0236,0.149,0.0009,0.1495,0.1466,0.0737,0.0975,0.0277,0.0082,872.1996,16.4273,0.0806,0.1077,2.4487,11.2672,0.2293,5.2814,1.6872,2.1529,0.1335,11.275,20.3464,0.0614,0.1703,0.197,0.3407,0.2128,0.778,35.4286,38880.1572,336.2932,14.8684,4035.0898,55.4509,407.3953,1070.7741,20112.9711,26032.8428,64913
poultry_and_other_livestock,95.943,195.7695,205.3259,0.2425,0.0086,6.0405,0.9118,0.1457,0.1123,0.0857,0.2111,0.0176,0.0323,5136.4272,0.0505,169.4777,0.2606,1.4754,4.0743,50.6367,31.2365,223.5371,0.0926,0.1121,0.1141,0.0055,0.0351,0.0384,0,0.0011,0.0008,0.6829,0.548,0.0371,0.0514,0.0404,0.0874,8.2552,0.1454,0.3987,0.7798,0.1607,0.0059,0.1147,0.0267,0.2834,0.0633,0.1099,0.1924,0.5921,0.0176,0.2916,0.0499,0.1193,0.1416,0.0506,0.0301,0.0538,0.1106,0.0584,0.0297,0.1524,0.1125,0.056,0.0992,0.0446,0.0036,0.0808,0.0441,1.3886,0.852,0.5274,3.5484,189.1398,538.8301,77.4177,175.7488,0.1587,0.0315,0.0124,0.1526,0.121,0.025,0.0533,1.4304,0.0153,0.0143,0.0781,0.0006,0.0111,0.0156,0.036,0.033,0.0217,0.0064,78.1079,3.1556,0.0305,0.0306,0.0287,1.2571,0.1065,7.145,21.2571,22.4733,1.6199,34.8424,17.5888,0.0161,109.5276,17.2825,0.1305,0.1632,1.4778,0.017,7442.4722,1053.624,1.614,1022.4413,1.2413,6.0754,181.2123,301.3196,2567.5278,10010
other_agriculture,2247.2651,645.3123,683.6096,2.5177,0.0496,0.6493,6231.0814,0.0407,0.0313,0.0239,0.0589,0.0049,0.009,23.1268,0.9538,17.2313,1384.2064,28.7234,4.1415,174.8365,2157.711,1026.5994,19.9618,6.9499,1733.2836,3.9385,0.2505,5.7956,0.0015,0.035,0.089,1.34,2.1704,0.6049,4.4469,1.3609,0.0244,2.6527,0.0108,2.1395,0.2229,263.1312,36.112,2.6932,2.1758,2.9759,1.5322,1.0081,0.0537,0.1652,0.0049,0.5782,0.0465,0.4557,0.0395,0.0141,0.0084,0.015,0.0321,0.0204,0.0088,0.0458,18.3078,0.0177,2.2566,3.1582,0.1422,21.8748,0.0213,127.94,62.8852,44.6047,573.4078,108.6883,643.9493,223.9654,982.2262,5.3791,7.951,8.8519,4.1552,13.3381,77.5521,0.0149,33.5246,0.0043,0.004,0.0218,0.3901,1.6879,0.0043,0.0101,35.612,0.0061,0.0018,126.38,33.8072,0.0085,13.9331,9.9764,57.9572,12.2128,17.7278,41.8927,59.0287,6.3462,228.2853,123.2404,17.9584,114.1814,81.0436,5.3793,3.8241,106.4203,2.7623,20788.8996,10468.5583,6.5701,1223.4974,22.3879,181.6438,169.5402,2467.9027,14540.1004,35329
aquaculture,0.0335,0.0076,0.0176,82.4228,0.0001,0.0042,0.0055,0.0708,0.1212,0.0281,0.1387,0.0106,0.0082,0.0008,464.0163,0.0041,0.0011,203.0527,0.5969,39.018,23.1367,348.7963,0.0144,0.0007,0.0019,0,0.0001,0.0018,0,0.0008,0.0006,0.0002,0.0005,0.0043,0.0098,0.0047,0.019,0.0015,0,0.0133,0.0031,0.0182,0.0006,0.0043,0.0028,0.0149,0.011,0.0009,0.0166,0.0022,0.0005,0.0199,0.0032,0.0079,0.0182,0.0189,0.0039,0,0.0178,0.002,0.001,0.0064,0.0044,0.0094,0.01,0.0306,0.0057,0.0154,0.0007,0.0855,0.034,0.1122,0.3047,18.7149,572.8058,182.2637,284.5617,0.0348,0.0084,0.0042,0.0038,0.0154,0.0488,0.0006,0.0012,0.0003,0.2034,0.0042,0.0001,0.0098,0.006,0.0107,0.0338,0,0,0.0683,0.2588,0.1243,0.1265,0.059,0.0212,0.0146,0.0408,0.0192,0.0277,0.0037,0.0515,0.0287,0.0023,0.01,21.0024,0.0443,0.119,0.0235,0.0021,2243.132,875.7453,0,7.1372,0.0648,1.7979,-119.3442,41.467,806.868,3050
forestry_and_logging,36.1779,10.1547,16.0806,2.4001,154.0194,0.155,0.5636,11.5701,13.9265,2.7182,12.6116,1.0149,1.1843,0.3092,0.0106,0.829,0.2702,0.5323,1.1724,0.3692,1.6888,0.7339,2.8448,0.1509,0.3924,0.0081,0.0225,0.3537,0.0019,0.1591,0.1255,2073.8854,773.4523,0.807,1.6159,2.7443,3.3197,13.3228,0.0316,108.4887,35.4987,25.6532,0.1146,0.8472,0.5495,2.8777,2.169,0.1982,1.41,0.5514,0.0451,2.9874,0.5965,1.3647,2.9388,3.1758,0.7422,0.01,3.5297,0.3968,0.2031,1.245,0.8894,1.8798,0.0185,1.832,0.0736,3.0752,0.0078,8.438,4.2763,4.8954,26.0498,2.3701,1.6602,0.5757,1.4953,4.8245,2.8797,0.77,0.5016,1.4385,0.5262,0.0099,0.0056,0.0028,40.3802,0.0145,0.0281,1.9431,1.1918,2.1303,5.2057,0.004,0.0012,27.213,49.4296,24.6727,24.8122,6.5441,1.7004,2.2179,5.889,3.4056,5.1043,0.7264,4.3692,2.8305,0.0027,0.9475,0.5526,8.5093,8.8224,1.1187,0.425,3636.0114,72.6456,73,39.1743,0.3685,9.8894,128.4135,209.4973,532.9886,4169
fishing_hunting_and_trapping,20.3446,5.5972,17.5321,0.5808,0.006,4.5411,0.3208,4.0659,9.03,1.5146,7.8047,0.5765,0.2601,0.1567,298.4684,0.0919,0.3751,0.844,0.9256,0.6324,0.0761,21.223,2.6257,0.0163,0.0262,0.0008,12.7637,0.0178,0.0001,0.0041,0.0032,0.0926,0.1045,0.0553,0.2119,0.1218,1.3842,0.0156,0.0011,0.181,0.0227,0.1623,0.0105,0.0478,0.0209,0.1656,0.0741,0.0201,1.0181,0.0821,0.0312,0.6162,0.0463,0.1584,0.436,0.3785,0.0382,0.0063,0.1099,0.0198,0.0106,0.0784,0.0367,0.4799,1.0011,2.1673,0.5257,0.0865,0.0775,4.7517,1.5189,8.9008,18.546,27.4955,606.6495,39.5215,83.814,1.1936,0.5008,0.0502,0.1706,0.8685,4.5873,0.0651,0.124,0.0304,1.0187,0.4228,0.0008,0.0502,0.0318,0.0577,0.8925,0.0025,0.0007,1.1871,2.2284,0.6249,0.7836,2.7492,8.5562,0.4117,1.2591,0.3178,0.3597,0.0229,3.1312,1.5736,2.668,1.2582,2.6522,0.3788,7.6412,1.8076,0.0123,1261.4115,744.5036,24,24.7813,0.233,6.2558,85.6272,753.1876,1638.5885,2900
agriculture_forestry_and_fishing_support_services,3851.2489,203.3881,3711.1409,74.9485,650.483,319.7439,92.6776,39.7911,7.848,68.8972,287.8017,17.2849,0.481,0.7111,0.0309,0.4527,0.2067,0.1662,0.562,0.2621,0.5195,0.4532,0.792,0.1009,0.167,0.0051,0.0253,0.1169,0.0005,0.0411,0.0324,0.4277,0.3682,0.2492,0.5603,0.2842,1.2669,0.1232,0.0057,0.9375,0.1863,1.0335,0.0398,0.2956,0.1606,0.9436,0.5986,0.1142,1.1393,0.4718,0.0421,1.2821,0.2003,0.4963,1.068,1.0433,0.2197,0.0355,0.9871,0.1426,0.071,0.4386,0.2931,0.5089,0.7541,1.9753,0.3888,0.8276,0.0771,5.9931,2.4856,7.6217,20.8262,12.3223,1.8131,0.474,1.0026,7.4303,0.5415,0.2308,0.3194,1.0365,5.0198,0.4148,0.1065,0.0292,10.3247,1.0747,0.0087,3.5454,3.4159,1.0397,1.9119,0.0131,0.0039,3.6757,18.6314,7.2656,6.8329,3.5071,87.3381,1.0419,3.729,1.3368,1.7479,0.2333,3.5459,2.0823,0.2096,0.6766,0.3766,2.34,7.4995,1.6134,0.1379,9593.2652,5.0754,630.1037,96.2301,1.2871,23.5213,-36.6835,2220.2008,2939.7348,12533
coal_mining,33.3114,7.0888,12.907,1.3992,0.3869,0.8081,3.6983,1413.8223,213.4101,788.8768,1075.6374,211.4874,24.1054,8.215,0.2964,3.8591,4.5338,2.0427,10.0429,3.0053,7.1134,6.5327,4.7695,2.6654,3.5662,1.1048,0.1001,1.5179,0.0064,0.294,0.1906,1.2322,3.3521,8.6464,6.4696,2.0004,10.0316,5.0401,0.525,29.5984,2.7816,4.5212,0.2543,1.5817,0.3638,18.5113,0.9235,0.8881,1393.5119,660.2462,0.564,45.7468,32.3264,6.0937,6.7297,2.4953,0.7724,1.9287,3.1289,1.3616,0.3517,6.7193,2.1981,0.4741,2345.6153,8.1801,2.5369,3.3149,3.3948,52.3818,15.2806,46.0449,76.9532,93.939,34.0333,7.311,18.2107,19.5245,9.0342,1.8522,2.216,6.1216,34.4643,4.3122,2.6243,0.9503,5.59,11.46,0.0381,7.8106,6.499,24.8995,6.6114,58.1433,17.5158,27.0354,142.245,27.5234,62.6947,5.138,43.367,40.438,4.9035,12.2063,11.9699,1.5417,33.0206,16.467,1.536,4.5352,3.1776,11.543,15.7889,6.3002,0.4725,9506.9334,174.8061,19.6782,172.3975,35.7008,80.7801,-1950.0639,111068.7678,109602.0666,119109
oil_and_gas_extraction,75.7477,3.0142,21.4044,7.5245,0.316,2.0014,4.1032,532.0848,2232.0968,538.8134,493.2477,98.6138,19.5522,92.4408,0.6446,99.4252,22.4031,45.3716,42.8464,37.7811,39.6239,93.2976,33.2975,28.6027,55.0212,0.2074,0.0869,9.7797,0.1693,0.681,0.2565,16.4243,104.668,160.7041,178.9129,40.687,147.2717,4.5367,0.1744,1635.2123,11.6708,202.5374,15.9738,212.6412,37.502,45.5717,97.3107,28.8472,190.1344,942.9449,10.707,73.23,36.9862,44.6287,22.6729,7.1615,8.1838,8.8389,11.9714,5.1419,3.8129,16.5442,8.0853,1.9539,1785.967,33.7628,34.9233,17.5594,3.8357,249.8482,277.9052,111.4549,371.5726,221.2019,115.9876,28.5856,390.2873,296.5841,15.4113,19.311,3.538,215.0226,72.0711,58.5432,16.8759,0.985,2.2513,51.4578,0.0342,11.3418,3.0846,5.7858,85.8302,47.011,14.4836,70.6863,272.1814,5.5977,91.2373,14.795,168.4641,78.3022,25.6864,101.9843,61.8038,12.4021,230.2512,210.7237,3.7799,13.0967,8.4244,36.2323,50.3328,42.7756,14.798,15040.1697,5347.0672,5.9032,1181.7971,127.7298,463.6364,-942.425,84422.1216,90605.8303,105646
iron_ore_mining,38.7026,3.605,18.5308,2.0193,0.1472,1.3971,1.9448,273.796,61.9293,118.2534,145.2272,8.7185,4.2668,4.676,0.3781,3.203,1.5957,0.5379,9.3857,2.0062,4.1889,3.6992,7.5015,3.8662,5.0735,0.1676,0.0259,0.8409,0.0634,0.1915,0.1041,1.1545,2.5164,2.2949,9.8995,2.4603,11.4168,7.7398,0.6913,16.2783,6.2387,6.7145,0.5653,1.6933,0.4004,6.7588,1.0755,0.2313,1965.3853,82.4131,1.0187,24.7909,6.3567,7.0783,8.4086,3.5201,0.5405,2.082,1.0636,1.0778,0.3041,3.7068,1.382,0.6771,15.7388,16.4225,6.7338,6.2997,42.4398,55.806,15.3081,86.3901,144.7064,403.8048,117.0931,4.9942,32.2694,122.0874,86.6379,15.5631,3.5434,20.1635,152.9453,11.3336,8.3664,1.4078,18.697,29.2931,0.0844,18.3183,11.0767,90.006,34.9342,0.7863,0.2508,48.1367,478.4829,91.4096,218.297,18.6962,54.5654,5.7654,11.8014,26.8845,22.802,4.8192,33.4686,21.449,3.9797,8.3646,7.0738,11.296,32.6045,14.2814,0.4802,5602.1386,81.8749,15.863,345.1694,37.2066,155.7221,1506.8038,128104.2216,130246.8614,135849
